Loyalty Number,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Avg_Points_Per_Flight,CLV
104732,1,37,54081.0,5,3,3,533,Loyal,1461.6486486486488,54081.00000000001
104849,1,35,53641.0,5,3,3,533,Loyal,1532.6,53641.0
104960,1,32,48555.0,5,3,3,533,Loyal,1517.34375,48555.0
105063,1,27,61042.5,5,2,4,524,Loyal,2260.8333333333335,61042.50000000001
105073,1,52,65811.0,5,5,4,554,Loyal,1265.5961538461538,65811.0
105074,1,46,66078.0,5,5,4,554,Loyal,1436.4782608695652,66078.0
105193,1,3,6621.0,5,1,1,511,Loyal,2207.0,6621.0
105214,1,35,52473.0,5,3,3,533,Loyal,1499.2285714285715,52473.0
105251,1,10,20733.0,5,1,2,512,Loyal,2073.3,20733.0
105335,1,36,62882.0,5,3,4,534,Loyal,1746.7222222222222,62882.0
105552,1,30,58554.0,5,2,4,524,Loyal,1951.8,58554.0
105688,1,45,71537.0,5,5,5,555,Champion,1589.7111111111112,71537.0
105712,1,31,46412.0,5,3,3,533,Loyal,1497.1612903225807,46412.0
105789,1,38,68173.0,5,4,5,545,Loyal,1794.0263157894738,68173.0
105835,1,35,62685.0,5,3,4,534,Loyal,1791.0,62685.0
105841,1,73,158892.0,5,5,5,555,Champion,2176.6027397260273,158892.0
105921,1,49,70250.0,5,5,5,555,Champion,1433.6734693877552,70250.0
105932,1,30,55256.0,5,2,4,524,Loyal,1841.8666666666666,55256.0
105992,1,42,61310.0,5,4,4,544,Loyal,1459.7619047619048,61310.0
106001,1,76,119565.0,5,5,5,555,Champion,1573.2236842105262,119565.0
106037,1,51,68781.0,5,5,5,555,Champion,1348.6470588235295,68781.0
106038,1,32,44279.0,5,3,3,533,Loyal,1383.71875,44279.0
106046,1,48,148093.5,5,5,5,555,Champion,3085.28125,148093.5
106048,1,3,2103.0,5,1,1,511,Loyal,701.0,2103.0
106218,1,38,53572.0,5,4,3,543,Loyal,1409.7894736842106,53572.00000000001
106397,1,25,35660.0,5,2,2,522,Loyal,1426.4,35660.0
106444,1,14,19680.0,5,1,1,511,Loyal,1405.7142857142858,19680.0
106477,1,23,29743.0,5,2,2,522,Loyal,1293.1739130434783,29743.0
106509,1,10,13811.0,5,1,1,511,Loyal,1381.1,13811.0
106592,1,47,76347.0,5,5,5,555,Champion,1624.404255319149,76347.0
106616,1,6,9406.0,5,1,1,511,Loyal,1567.6666666666667,9406.0
106623,1,4,2092.0,5,1,1,511,Loyal,523.0,2092.0
106637,1,32,48721.0,5,3,3,533,Loyal,1522.53125,48721.0
106689,1,23,34355.0,5,2,2,522,Loyal,1493.695652173913,34355.0
106754,1,31,33368.0,5,3,2,532,Loyal,1076.3870967741937,33368.0
106757,1,35,53926.0,5,3,3,533,Loyal,1540.7428571428572,53926.0
106776,1,43,68400.0,5,4,5,545,Loyal,1590.6976744186047,68400.0
106838,1,39,71555.0,5,4,5,545,Loyal,1834.7435897435898,71555.0
106839,1,45,64569.0,5,5,4,554,Loyal,1434.8666666666666,64568.99999999999
106936,1,45,71149.0,5,5,5,555,Champion,1581.088888888889,71149.0
106946,1,50,78216.0,5,5,5,555,Champion,1564.32,78216.0
106964,1,4,5889.0,5,1,1,511,Loyal,1472.25,5889.0
106978,1,46,70762.0,5,5,5,555,Champion,1538.304347826087,70762.0
106979,1,38,66576.0,5,4,4,544,Loyal,1752.0,66576.0
107037,1,31,37882.0,5,3,2,532,Loyal,1222.0,37882.0
107067,1,35,46235.0,5,3,3,533,Loyal,1321.0,46235.0
107119,1,47,73636.0,5,5,5,555,Champion,1566.723404255319,73636.0
107141,1,33,44019.0,5,3,3,533,Loyal,1333.909090909091,44019.0
107203,1,47,65065.0,5,5,4,554,Loyal,1384.3617021276596,65065.0
107212,1,39,58002.0,5,4,4,544,Loyal,1487.2307692307693,58002.0
107296,1,21,30104.0,5,2,2,522,Loyal,1433.5238095238096,30104.000000000004
107385,1,22,27287.0,5,2,2,522,Loyal,1240.3181818181818,27287.0
107420,1,18,24132.0,5,2,2,522,Loyal,1340.6666666666667,24132.0
107461,1,18,21476.0,5,2,2,522,Loyal,1193.111111111111,21476.0
107466,1,24,36441.0,5,2,2,522,Loyal,1518.375,36441.0
107487,1,18,33663.0,5,2,2,522,Loyal,1870.1666666666667,33663.0
107519,1,61,142939.5,5,5,5,555,Champion,2343.2704918032787,142939.5
107571,1,31,38467.0,5,3,2,532,Loyal,1240.8709677419354,38467.0
107649,1,45,74576.0,5,5,5,555,Champion,1657.2444444444445,74576.0
107719,1,30,36129.0,5,2,2,522,Loyal,1204.3,36129.0
107730,1,37,64714.0,5,3,4,534,Loyal,1749.027027027027,64714.0
107835,1,5,7565.0,5,1,1,511,Loyal,1513.0,7565.0
107902,1,32,53948.0,5,3,3,533,Loyal,1685.875,53948.0
107993,1,32,45033.0,5,3,3,533,Loyal,1407.28125,45033.0
108264,1,68,103366.0,5,5,5,555,Champion,1520.0882352941176,103366.0
108346,1,10,17116.0,5,1,1,511,Loyal,1711.6,17116.0
108367,1,14,19611.0,5,1,1,511,Loyal,1400.7857142857142,19611.0
108381,1,40,50725.0,5,4,3,543,Loyal,1268.125,50725.0
108430,1,47,87628.0,5,5,5,555,Champion,1864.4255319148936,87628.0
108440,1,35,42687.0,5,3,2,532,Loyal,1219.6285714285714,42687.0
108462,1,37,62792.0,5,3,4,534,Loyal,1697.081081081081,62792.0
108528,1,51,78024.0,5,5,5,555,Champion,1529.8823529411766,78024.0
108625,1,46,69314.0,5,5,5,555,Champion,1506.8260869565217,69314.0
108666,1,26,40864.0,5,2,2,522,Loyal,1571.6923076923076,40864.0
108857,1,10,7254.0,5,1,1,511,Loyal,725.4,7254.0
108896,1,9,11764.0,5,1,1,511,Loyal,1307.111111111111,11764.0
108907,1,37,56340.0,5,3,4,534,Loyal,1522.7027027027027,56340.0
109022,1,27,35598.0,5,2,2,522,Loyal,1318.4444444444443,35598.0
109023,1,35,64655.0,5,3,4,534,Loyal,1847.2857142857142,64655.0
109029,1,2,3944.0,5,1,1,511,Loyal,1972.0,3944.0
109203,1,41,62207.0,5,4,4,544,Loyal,1517.2439024390244,62207.0
109399,1,33,58851.0,5,3,4,534,Loyal,1783.3636363636363,58851.0
109478,1,44,85316.0,5,4,5,545,Loyal,1939.0,85316.0
109495,1,44,75183.0,5,4,5,545,Loyal,1708.7045454545455,75183.0
109517,1,34,45001.0,5,3,3,533,Loyal,1323.5588235294117,45001.0
109552,1,22,26865.0,5,2,2,522,Loyal,1221.1363636363637,26865.000000000004
109612,1,17,30477.0,5,2,2,522,Loyal,1792.764705882353,30477.0
109660,1,42,69953.0,5,4,5,545,Loyal,1665.547619047619,69953.0
109767,1,44,66909.0,5,4,4,544,Loyal,1520.659090909091,66909.0
109840,1,27,44876.0,5,2,3,523,Loyal,1662.0740740740741,44876.0
109896,1,42,62398.0,5,4,4,544,Loyal,1485.6666666666667,62398.0
109903,1,38,47019.0,5,4,3,543,Loyal,1237.342105263158,47019.0
109956,1,16,27586.0,5,2,2,522,Loyal,1724.125,27586.0
110001,1,32,47676.0,5,3,3,533,Loyal,1489.875,47676.0
110030,1,12,12015.0,5,1,1,511,Loyal,1001.25,12015.0
110065,1,97,211386.0,5,5,5,555,Champion,2179.237113402062,211386.0
110099,1,36,59296.0,5,3,4,534,Loyal,1647.111111111111,59296.0
110142,1,73,160345.5,5,5,5,555,Champion,2196.513698630137,160345.5
110170,1,7,11198.0,5,1,1,511,Loyal,1599.7142857142858,11198.0
110211,1,26,38248.0,5,2,2,522,Loyal,1471.076923076923,38248.0
110262,1,45,114826.5,5,5,5,555,Champion,2551.7,114826.49999999999
110296,1,34,53546.0,5,3,3,533,Loyal,1574.8823529411766,53546.0
110394,1,46,66002.0,5,5,4,554,Loyal,1434.8260869565217,66002.0
110422,1,14,12513.0,5,1,1,511,Loyal,893.7857142857143,12513.0
110476,1,47,66715.0,5,5,4,554,Loyal,1419.468085106383,66715.0
110678,1,37,56217.0,5,3,4,534,Loyal,1519.3783783783783,56217.0
110691,1,30,49309.0,5,2,3,523,Loyal,1643.6333333333334,49309.0
110752,1,41,62023.0,5,4,4,544,Loyal,1512.7560975609756,62023.0
111022,1,28,44035.0,5,2,3,523,Loyal,1572.6785714285713,44035.0
111034,1,49,80677.0,5,5,5,555,Champion,1646.469387755102,80677.0
111171,1,45,57660.0,5,5,4,554,Loyal,1281.3333333333333,57660.0
111176,1,37,59430.0,5,3,4,534,Loyal,1606.2162162162163,59430.0
111255,1,48,65856.0,5,5,4,554,Loyal,1372.0,65856.0
111286,1,32,49103.0,5,3,3,533,Loyal,1534.46875,49103.0
111329,1,36,44314.0,5,3,3,533,Loyal,1230.9444444444443,44314.0
111485,1,51,73149.0,5,5,5,555,Champion,1434.2941176470588,73149.0
111507,1,29,40465.0,5,2,2,522,Loyal,1395.344827586207,40465.0
111573,1,42,73431.0,5,4,5,545,Loyal,1748.357142857143,73431.0
111584,1,25,32533.0,5,2,2,522,Loyal,1301.32,32533.0
111646,1,24,45971.0,5,2,3,523,Loyal,1915.4583333333333,45971.0
111788,1,65,95902.0,5,5,5,555,Champion,1475.4153846153847,95902.0
111899,1,16,24779.0,5,2,2,522,Loyal,1548.6875,24779.0
111912,1,47,77676.0,5,5,5,555,Champion,1652.6808510638298,77676.0
112026,1,56,99150.0,5,5,5,555,Champion,1770.5357142857142,99150.0
112142,1,39,56357.0,5,4,4,544,Loyal,1445.051282051282,56357.0
112226,1,38,70245.0,5,4,5,545,Loyal,1848.5526315789473,70245.0
112393,1,48,80936.0,5,5,5,555,Champion,1686.1666666666667,80936.0
112522,1,50,103629.0,5,5,5,555,Champion,2072.58,103629.0
112632,1,47,76426.0,5,5,5,555,Champion,1626.0851063829787,76426.0
112661,1,10,9526.0,5,1,1,511,Loyal,952.6,9526.0
112678,1,29,50550.0,5,2,3,523,Loyal,1743.103448275862,50550.0
112709,1,36,58414.0,5,3,4,534,Loyal,1622.611111111111,58414.0
112732,1,37,65331.0,5,3,4,534,Loyal,1765.7027027027027,65331.0
112733,1,46,55364.0,5,5,4,554,Loyal,1203.5652173913043,55363.99999999999
112842,1,32,60931.0,5,3,4,534,Loyal,1904.09375,60931.0
112856,1,42,68536.0,5,4,5,545,Loyal,1631.8095238095239,68536.0
112863,1,40,56146.0,5,4,4,544,Loyal,1403.65,56146.0
113040,1,29,55322.0,5,2,4,524,Loyal,1907.655172413793,55322.0
113184,1,13,17942.0,5,1,1,511,Loyal,1380.1538461538462,17942.0
113220,1,36,53362.0,5,3,3,533,Loyal,1482.2777777777778,53362.0
113293,1,9,11095.0,5,1,1,511,Loyal,1232.7777777777778,11095.0
113316,1,15,26262.0,5,2,2,522,Loyal,1750.8,26262.0
113363,1,22,43708.0,5,2,2,522,Loyal,1986.7272727272727,43708.0
113442,1,5,9571.0,5,1,1,511,Loyal,1914.2,9571.0
113476,1,48,76252.0,5,5,5,555,Champion,1588.5833333333333,76252.0
113529,1,6,13405.0,5,1,1,511,Loyal,2234.1666666666665,13405.0
113558,1,32,40426.0,5,3,2,532,Loyal,1263.3125,40426.0
113578,1,3,1799.0,5,1,1,511,Loyal,599.6666666666666,1799.0
113679,1,52,66901.0,5,5,4,554,Loyal,1286.5576923076924,66901.0
113694,1,53,88235.0,5,5,5,555,Champion,1664.811320754717,88235.0
113755,1,18,19113.0,5,2,1,521,Loyal,1061.8333333333333,19113.0
113779,1,37,45219.0,5,3,3,533,Loyal,1222.1351351351352,45219.0
113804,1,25,32637.0,5,2,2,522,Loyal,1305.48,32637.0
113831,1,57,72210.0,5,5,5,555,Champion,1266.842105263158,72210.0
113839,1,30,49824.0,5,2,3,523,Loyal,1660.8,49824.0
113861,1,26,34699.0,5,2,2,522,Loyal,1334.576923076923,34699.0
113864,1,16,17202.0,5,2,1,521,Loyal,1075.125,17202.0
113874,1,42,118162.5,5,4,5,545,Loyal,2813.3928571428573,118162.50000000001
113877,1,45,81297.0,5,5,5,555,Champion,1806.6,81297.0
113904,1,44,48694.0,5,4,3,543,Loyal,1106.6818181818182,48694.0
113919,1,35,61012.0,5,3,4,534,Loyal,1743.2,61012.0
114018,1,33,48336.0,5,3,3,533,Loyal,1464.7272727272727,48336.0
114021,1,46,69349.0,5,5,5,555,Champion,1507.5869565217392,69349.0
114131,1,49,127158.0,5,5,5,555,Champion,2595.061224489796,127158.00000000001
114214,1,16,20894.0,5,2,2,522,Loyal,1305.875,20894.0
114219,1,35,49604.0,5,3,3,533,Loyal,1417.2571428571428,49604.0
114242,1,38,53004.0,5,4,3,543,Loyal,1394.842105263158,53004.0
114307,1,33,46919.0,5,3,3,533,Loyal,1421.7878787878788,46919.0
114399,1,4,4809.0,5,1,1,511,Loyal,1202.25,4809.0
114414,1,57,98309.0,5,5,5,555,Champion,1724.719298245614,98309.0
114493,1,32,52349.0,5,3,3,533,Loyal,1635.90625,52349.0
114553,1,41,61201.0,5,4,4,544,Loyal,1492.7073170731708,61201.0
114638,1,51,63893.0,5,5,4,554,Loyal,1252.8039215686274,63893.0
114700,1,16,18282.0,5,2,1,521,Loyal,1142.625,18282.0
114743,1,15,22328.0,5,2,2,522,Loyal,1488.5333333333333,22328.0
114835,1,30,42008.0,5,2,2,522,Loyal,1400.2666666666667,42008.0
114857,1,38,52595.0,5,4,3,543,Loyal,1384.078947368421,52595.0
114903,1,36,53090.0,5,3,3,533,Loyal,1474.7222222222222,53090.0
114924,1,13,22222.0,5,1,2,512,Loyal,1709.3846153846155,22222.0
114927,1,31,40489.0,5,3,2,532,Loyal,1306.0967741935483,40489.0
114983,1,27,44033.0,5,2,3,523,Loyal,1630.851851851852,44033.0
115322,1,48,76273.0,5,5,5,555,Champion,1589.0208333333333,76273.0
115354,1,52,79226.0,5,5,5,555,Champion,1523.576923076923,79226.0
115405,1,35,67404.0,5,3,5,535,Loyal,1925.8285714285714,67404.0
115427,1,46,61723.0,5,5,4,554,Loyal,1341.804347826087,61723.0
115505,1,26,89151.0,5,2,5,525,Loyal,3428.8846153846152,89151.0
115529,1,34,47356.0,5,3,3,533,Loyal,1392.8235294117646,47356.0
115633,1,43,63347.0,5,4,4,544,Loyal,1473.1860465116279,63347.0
115705,1,40,59658.0,5,4,4,544,Loyal,1491.45,59658.0
115749,1,9,12514.0,5,1,1,511,Loyal,1390.4444444444443,12514.0
115805,1,46,63394.0,5,5,4,554,Loyal,1378.1304347826087,63394.0
115852,1,38,62941.0,5,4,4,544,Loyal,1656.342105263158,62941.0
116016,1,43,66457.0,5,4,4,544,Loyal,1545.5116279069769,66457.0
116045,1,49,79559.0,5,5,5,555,Champion,1623.6530612244899,79559.0
116164,1,9,15501.0,5,1,1,511,Loyal,1722.3333333333333,15501.0
116207,1,14,25324.0,5,1,2,512,Loyal,1808.857142857143,25324.0
116238,1,15,23059.0,5,2,2,522,Loyal,1537.2666666666667,23059.0
116288,1,33,47604.0,5,3,3,533,Loyal,1442.5454545454545,47604.0
116332,1,48,72114.0,5,5,5,555,Champion,1502.375,72114.0
116372,1,35,45847.0,5,3,3,533,Loyal,1309.9142857142858,45847.00000000001
116562,1,11,15412.0,5,1,1,511,Loyal,1401.090909090909,15412.0
116703,1,25,38896.0,5,2,2,522,Loyal,1555.84,38896.0
116732,1,22,39329.0,5,2,2,522,Loyal,1787.6818181818182,39329.0
116735,1,42,54211.0,5,4,3,543,Loyal,1290.7380952380952,54211.0
116895,1,38,67005.0,5,4,4,544,Loyal,1763.2894736842106,67005.0
116897,1,10,18542.0,5,1,1,511,Loyal,1854.2,18542.0
116932,1,39,57913.0,5,4,4,544,Loyal,1484.948717948718,57913.0
116948,1,14,18662.0,5,1,1,511,Loyal,1333.0,18662.0
116999,1,40,62784.0,5,4,4,544,Loyal,1569.6,62784.0
117033,1,35,42469.0,5,3,2,532,Loyal,1213.4,42469.0
117053,1,36,67867.0,5,3,5,535,Loyal,1885.1944444444443,67867.0
117169,1,40,57471.0,5,4,4,544,Loyal,1436.775,57471.0
117219,1,46,80346.0,5,5,5,555,Champion,1746.6521739130435,80346.0
117240,1,19,28749.0,5,2,2,522,Loyal,1513.1052631578948,28749.0
117333,1,62,81641.0,5,5,5,555,Champion,1316.7903225806451,81641.0
117342,1,42,49782.0,5,4,3,543,Loyal,1185.2857142857142,49782.0
117358,1,3,4368.0,5,1,1,511,Loyal,1456.0,4368.0
117408,1,44,73206.0,5,4,5,545,Loyal,1663.7727272727273,73206.0
117456,1,51,77607.0,5,5,5,555,Champion,1521.7058823529412,77607.0
117460,1,34,48495.0,5,3,3,533,Loyal,1426.3235294117646,48495.0
117482,1,78,126532.5,5,5,5,555,Champion,1622.2115384615386,126532.50000000001
117618,1,29,39486.0,5,2,2,522,Loyal,1361.5862068965516,39486.0
117782,1,46,76507.0,5,5,5,555,Champion,1663.195652173913,76507.0
117910,1,33,44863.0,5,3,3,533,Loyal,1359.4848484848485,44863.0
117915,1,77,202362.0,5,5,5,555,Champion,2628.0779220779223,202362.0
117932,1,25,42732.0,5,2,2,522,Loyal,1709.28,42732.0
117939,1,8,9058.0,5,1,1,511,Loyal,1132.25,9058.0
117975,1,1,1030.0,5,1,1,511,Loyal,1030.0,1030.0
118076,1,38,60263.0,5,4,4,544,Loyal,1585.8684210526317,60263.0
118320,1,40,60927.0,5,4,4,544,Loyal,1523.175,60927.0
118332,1,33,54604.0,5,3,3,533,Loyal,1654.6666666666667,54604.0
118355,1,21,25446.0,5,2,2,522,Loyal,1211.7142857142858,25446.0
118365,1,30,48598.0,5,2,3,523,Loyal,1619.9333333333334,48598.0
118376,1,8,10291.0,5,1,1,511,Loyal,1286.375,10291.0
118379,1,27,38304.0,5,2,2,522,Loyal,1418.6666666666667,38304.0
118418,1,79,155238.0,5,5,5,555,Champion,1965.0379746835442,155238.0
118511,1,4,5384.0,5,1,1,511,Loyal,1346.0,5384.0
118514,1,8,16759.0,5,1,1,511,Loyal,2094.875,16759.0
118612,1,21,30075.0,5,2,2,522,Loyal,1432.142857142857,30075.0
118628,1,47,82624.0,5,5,5,555,Champion,1757.9574468085107,82624.0
118632,1,48,84784.0,5,5,5,555,Champion,1766.3333333333333,84784.0
118675,1,40,59391.0,5,4,4,544,Loyal,1484.775,59391.0
118729,1,9,11777.0,5,1,1,511,Loyal,1308.5555555555557,11777.0
118864,1,38,52921.0,5,4,3,543,Loyal,1392.657894736842,52921.0
119009,1,33,52761.0,5,3,3,533,Loyal,1598.8181818181818,52761.0
119015,1,14,24228.0,5,1,2,512,Loyal,1730.5714285714287,24228.0
119135,1,44,62976.0,5,4,4,544,Loyal,1431.2727272727273,62976.0
119198,1,41,64270.5,5,4,4,544,Loyal,1567.5731707317073,64270.5
119200,1,31,44595.0,5,3,3,533,Loyal,1438.5483870967741,44595.0
119408,1,4,4900.0,5,1,1,511,Loyal,1225.0,4900.0
119460,1,28,37174.0,5,2,2,522,Loyal,1327.642857142857,37174.0
119488,1,33,38383.0,5,3,2,532,Loyal,1163.121212121212,38383.0
119519,1,32,56036.0,5,3,4,534,Loyal,1751.125,56036.0
119633,1,32,44471.0,5,3,3,533,Loyal,1389.71875,44471.0
119634,1,60,155473.5,5,5,5,555,Champion,2591.225,155473.5
119638,1,53,100794.0,5,5,5,555,Champion,1901.7735849056603,100794.0
119731,1,42,70209.0,5,4,5,545,Loyal,1671.642857142857,70209.0
119837,1,37,60609.0,5,3,4,534,Loyal,1638.081081081081,60609.0
119845,1,40,41995.0,5,4,2,542,Loyal,1049.875,41995.0
119997,1,49,71163.0,5,5,5,555,Champion,1452.3061224489795,71163.0
120046,1,18,26202.0,5,2,2,522,Loyal,1455.6666666666667,26202.0
120126,1,26,45865.0,5,2,3,523,Loyal,1764.0384615384614,45865.0
120140,1,39,60028.0,5,4,4,544,Loyal,1539.179487179487,60027.99999999999
120164,1,48,64048.0,5,5,4,554,Loyal,1334.3333333333333,64048.0
120192,1,39,55642.0,5,4,4,544,Loyal,1426.7179487179487,55642.0
120393,1,38,57003.0,5,4,4,544,Loyal,1500.078947368421,57003.0
120434,1,23,29858.0,5,2,2,522,Loyal,1298.1739130434783,29858.0
120554,1,30,51751.0,5,2,3,523,Loyal,1725.0333333333333,51751.0
120583,1,41,63078.0,5,4,4,544,Loyal,1538.4878048780488,63078.0
120594,1,50,75531.0,5,5,5,555,Champion,1510.62,75531.0
120613,1,29,45828.0,5,2,3,523,Loyal,1580.2758620689656,45828.0
120799,1,22,28399.0,5,2,2,522,Loyal,1290.8636363636363,28398.999999999996
120868,1,36,57393.0,5,3,4,534,Loyal,1594.25,57393.0
121068,1,39,50529.0,5,4,3,543,Loyal,1295.6153846153845,50529.0
121095,1,40,58553.0,5,4,4,544,Loyal,1463.825,58553.0
121139,1,35,51947.0,5,3,3,533,Loyal,1484.2,51947.0
121183,1,55,79828.0,5,5,5,555,Champion,1451.418181818182,79828.0
121236,1,7,10757.0,5,1,1,511,Loyal,1536.7142857142858,10757.0
121351,1,11,22006.5,5,1,2,512,Loyal,2000.590909090909,22006.5
121410,1,60,93487.0,5,5,5,555,Champion,1558.1166666666666,93487.0
121605,1,54,83847.0,5,5,5,555,Champion,1552.7222222222222,83847.0
